Date,Open,High,Low,Close,Volume
2017-12-25,13868.87186,14663.41683,13044.10198,13965.21166,9706645690
2017-12-24,14159.44634,14976.38023,12155.93349,13812.87681,10635564244
2017-12-23,13784.65217,15732.36813,13647.82154,14181.53206,15948239608
2017-12-22,15609.6248,15883.31299,11453.81051,13693.82573,16533427871
2017-12-21,16632.21799,17469.54248,14987.56649,15621.41172,16452025087
2017-12-20,17713.38097,17936.12814,16011.89116,16599.69136,17654903177
2017-12-19,18969.61424,19187.67793,17249.07031,17700.77842,13477194446
2017-12-18,19184.87458,19257.12123,18285.14561,18931.20494,11756211908
2017-12-17,19417.86079,19927.18534,18860.38571,19156.71037,11897297708
2017-12-16,17663.90483,19634.97442,17476.87636,19427.47451,9276249144
2017-12-15,16456.7563,18037.3399,16450.68563,17650.28976,12710750385
2017-12-14,16245.23391,16830.66478,15952.80227,16454.93262,10943444494
2017-12-13,16819.04104,16938.0177,15757.98825,16225.0244,11262015467
2017-12-12,16841.08657,17416.95304,16065.16799,16798.02554,10571922383
2017-12-11,15322.77283,17501.26218,15322.77283,16774.99458,11387045739
2017-12-10,15159.23638,15913.39007,13161.04834,15565.86191,10291186743
2017-12-09,16578.11274,16758.60004,13516.39126,15082.84737,11568857444
2017-12-08,18057.85049,18524.47145,14548.94085,16592.80382,16565034662
2017-12-07,14060.91497,18074.17548,13771.22181,18074.17548,13326830861
2017-12-06,11874.39592,14076.49186,11874.39592,14063.24915,8248840473
2017-12-05,11665.2276,11985.21486,11595.8026,11896.9079,5704204857
2017-12-04,11318.91977,11645.09604,11073.09694,11645.09604,5876343718
2017-12-03,11048.83514,11823.20125,10842.23845,11304.61703,4439198030
2017-12-02,10957.08513,11336.66729,10864.03439,11052.13288,5508931178
2017-12-01,10215.70115,11026.03487,9685.536843,10967.66482,6944962389
2017-11-30,9928.125211,10819.72772,9279.648581,10273.82557,9672067533
2017-11-29,10169.64328,11498.10612,9380.151451,9780.735748,6568561632
2017-11-28,9848.886055,10191.74368,9784.573314,10165.72111,4680883317
2017-11-27,9372.693822,9849.762583,9362.589888,9845.460026,4702641439
2017-11-26,8810.907357,9533.16307,8807.993351,9359.825974,4253796436
2017-11-25,8264.41195,8820.874114,8225.061712,8820.874114,3764586979
2017-11-24,8070.247954,8379.714927,7971.92538,8268.087282,4071299797
2017-11-23,8227.363928,8259.849588,8079.707292,8079.707292,3341993774
2017-11-22,8111.756928,8298.527603,8099.010106,8235.703377,3221352828
2017-11-21,8211.555403,8332.168952,7812.695462,8100.195216,3930337074
2017-11-20,8014.615646,8260.812429,7925.767371,8216.796397,2889658371
2017-11-19,7775.150351,8043.240302,7654.556187,8023.985993,2603344061
2017-11-18,7705.225707,7844.769045,7471.53643,7786.062738,4020111615
2017-11-17,7858.644664,8010.473776,7562.145737,7738.847174,4169241054
2017-11-16,7336.675526,7950.359953,7199.878647,7849.171538,3838014141
2017-11-15,6647.50772,7362.400701,6647.50772,7322.818343,3292612976
2017-11-14,6581.989103,6780.150296,6476.239238,6647.34608,4029832336
2017-11-13,5989.778473,6850.464044,5948.677376,6577.853347,4220355222
2017-11-12,6355.853306,6480.458935,5614.214078,5991.383039,3190841732
2017-11-11,6598.365158,6862.041485,6279.384685,6356.625594,5021218783
2017-11-10,7179.911941,7379.149902,6447.167476,6613.680938,3677208838
2017-11-09,7470.069124,7470.069124,7109.098796,7149.000472,4128846790
2017-11-08,7161.255831,7732.574136,7136.077819,7486.648797,2603250961
2017-11-07,7048.212497,7278.111006,7048.212497,7168.998589,2605319541
2017-11-06,7402.650704,7461.217989,7046.3128,7046.3128,2520722368
2017-11-05,7394.381478,7618.518167,7325.719049,7392.794234,1991166333
2017-11-04,7210.187115,7474.331784,7086.19873,7391.414501,2663039124
2017-11-03,7085.737224,7435.765575,6994.68356,7207.199066,3709943046
2017-11-02,6755.903777,7461.50855,6755.903777,7083.602366,3650530787
2017-11-01,6433.497858,6751.16985,5828.476859,6751.16985,2422158633
2017-10-31,6079.307558,6443.118174,6038.268904,6443.118174,1610869661
2017-10-30,6124.058616,6168.496593,5996.44095,6086.122429,2191261218
2017-10-29,5749.563999,6216.524433,5728.87027,6146.589798,1602732525
2017-10-28,5757.659835,5854.622466,5664.157128,5739.102225,1469730115
2017-10-27,5899.190788,5981.333651,5722.633627,5752.448565,1816195877
2017-10-26,5720.446475,5955.709383,5684.729787,5897.441434,1826168892
2017-10-25,5527.28221,5727.942644,5394.936588,5725.302354,2133954217
2017-10-24,5929.837027,5929.837027,5505.114632,5526.928736,2982315190
2017-10-23,6012.75688,6071.358448,5694.409327,5946.926592,1919863138
2017-10-22,6035.406725,6083.978976,5763.931732,6018.877567,2075433694
2017-10-21,5990.353327,6188.33497,5960.347933,6035.445673,2357226249
2017-10-20,5668.162862,6039.676943,5613.489699,6000.942902,1661760080
2017-10-19,5579.595965,5720.290661,5520.490617,5666.941921,2003847685
2017-10-18,5611.877991,5611.877991,5157.866481,5586.3224,1765142429
2017-10-17,5724.276541,5731.292043,5447.921209,5608.720413,1674450923
2017-10-16,5682.169341,5749.30472,5570.774781,5715.959489,1868309529
2017-10-15,5809.644089,5834.511811,5451.573759,5671.364512,1224709413
2017-10-14,5645.575944,5809.264078,5591.199517,5794.824898,1828047911
2017-10-13,5474.284931,5827.686133,5443.231414,5648.555273,3153824604
2017-10-12,4817.774916,5454.956615,4809.46769,5451.116001,1567842029
2017-10-11,4776.845909,4940.049641,4742.077525,4813.907854,1376093089
2017-10-10,4778.168364,4919.279359,4577.272431,4770.680471,1844579889
2017-10-09,4595.593791,4867.038072,4462.819314,4778.265492,1437590264
2017-10-08,4399.840562,4605.822535,4391.704577,4594.791466,919376108.3
2017-10-07,4347.018631,4416.203923,4312.669461,4401.216587,781030762.6
2017-10-06,4308.291188,4392.401416,4296.675659,4349.048323,962450001.9
2017-10-05,4237.438692,4348.467992,4157.650335,4311.095697,992029104.1
2017-10-04,4312.216362,4337.574576,4206.295821,4235.080828,974139815.4
2017-10-03,4378.06235,4466.306182,4237.159335,4311.980091,1146606608
2017-10-02,4362.54062,4446.342068,4361.270626,4384.188461,1177332864
2017-10-01,4313.69041,4367.362509,4258.475164,4361.139973,1043389066
2017-09-30,4128.602804,4320.661177,4125.151262,4312.820213,995838914.8
2017-09-29,4174.73,4192.72,4039.29,4128.299491,1474570558
2017-09-28,4200.67,4279.31,4109.7,4177.53,1848732125
2017-09-27,3892.35,4210.05,3884.82,4199.28,1274666875
2017-09-26,3926.07,3969.89,3869.9,3894.73,1228778118
2017-09-25,3682.84,3950.25,3681.58,3923.13,1050890993
2017-09-24,3792.4,3796.15,3666.9,3689.71,842150277.8
2017-09-23,3630.7,3819.21,3594.58,3796.46,1089044670
2017-09-22,3631.04,3758.27,3553.53,3635.53,1383438881
2017-09-21,3905.95,3916.42,3613.63,3631.03,1233677825
2017-09-20,3924.97,4031.39,3857.73,3917.47,1397132222
2017-09-19,4065.2,4094.07,3868.87,3928.4,1705764201
2017-09-18,3582.88,4079.23,3582.88,4056.1,1645700807
2017-09-17,3625.04,3664.81,3445.64,3583.22,1441625455
2017-09-16,3637.52,3808.84,3487.79,3620.74,3077740070
2017-09-15,3154.95,3733.45,2946.62,3638.95,3639263614
2017-09-14,3882.59,3920.6,3153.86,3153.86,2256522334
2017-09-13,4130.81,4131.98,3789.92,3880.49,2072152292
2017-09-12,4161.27,4344.65,4085.22,4141.68,1638364301
2017-09-11,4122.94,4261.67,4099.4,4163.2,1617781631
2017-09-10,4226.06,4245.44,3951.04,4122.58,1517856376
2017-09-09,4228.75,4308.82,4114.11,4232.76,2366424669
2017-09-08,4599.88,4661,4075.18,4224.81,1993160104
2017-09-07,4597.12,4655.04,4491.33,4603.03,1932914424
2017-09-06,4376.53,4617.25,4376.53,4593.39,2368508611
2017-09-05,4236.31,4427.84,3998.11,4384.54,3052981469
2017-09-04,4582.96,4591.63,4108.4,4224.22,2348947438
2017-09-03,4578.77,4714.08,4417.59,4581.11,2178595382
2017-09-02,4892.01,4975.04,4469.24,4568.28,2868830490
2017-09-01,4703.39,4886.73,4678.53,4879.76,2163654132
2017-08-31,4565.3,4736.05,4549.4,4704.98,1864586486
2017-08-30,4579.02,4626.52,4471.41,4568.66,2360344931
2017-08-29,4382.66,4625.68,4352.13,4576.33,2085864444
2017-08-28,4382.88,4403.93,4224.64,4381.98,1753622902
2017-08-27,4352.4,4416.59,4317.29,4379.94,1494478105
2017-08-26,4371.6,4379.28,4269.52,4333.51,1594584896
2017-08-25,4334.68,4455.7,4307.35,4367.18,1975388889
2017-08-24,4151.52,4376.39,4130.26,4346.28,2162524808
2017-08-23,4100.52,4255.78,4078.41,4149.94,2621162674
2017-08-22,4001.74,4128.76,3674.58,4099.95,3542738785
2017-08-21,4087.66,4109.14,3988.6,4001.47,2392424790
2017-08-20,4193.7,4196.29,4069.88,4108.93,2491604549
2017-08-19,4160.62,4243.26,3970.55,4202.15,3055205366
2017-08-18,4331.69,4370.13,4015.4,4128.86,2659080208
2017-08-17,4376.63,4484.7,4243.71,4349.1,2291049129
2017-08-16,4181.93,4381.23,3994.42,4374.59,2602043646
2017-08-15,4325.13,4455.97,3906.18,4181.96,2925089896
2017-08-14,4073.26,4323.7,3989.16,4306.43,2774568328
2017-08-13,3884.71,4208.39,3857.8,4062.87,2929857153
2017-08-12,3650.62,3949.92,3613.7,3883.17,2129099167
2017-08-11,3381.28,3679.72,3372.12,3654.33,1772835958
2017-08-10,3342.47,3453.45,3319.47,3391.23,1378263090
2017-08-09,3419.94,3422.76,3247.67,3345.37,1624614653
2017-08-08,3378.94,3484.85,3345.83,3419.01,1658408785
2017-08-07,3213.94,3397.68,3180.89,3374.01,1213881289
2017-08-06,3252.91,3293.29,3155.6,3218.02,1406395868
2017-08-05,2895.89,3290.01,2874.83,3253.94,1595063563
2017-08-04,2804.73,2899.33,2743.72,2899.33,951906801.4
2017-08-03,2710.67,2813.31,2685.14,2802.24,944016937.5
2017-08-02,2718.26,2762.53,2668.59,2711.93,1232875833
2017-08-01,2875.34,2921.35,2685.61,2713.63,1094064903
2017-07-31,2757.18,2889.62,2720.61,2872.31,703399926.8
2017-07-30,2726.45,2758.53,2644.85,2752.85,728973611.1
2017-07-29,2807.02,2808.76,2692.8,2729.69,1040785760
2017-07-28,2671.78,2897.45,2671.78,2809.01,1187123460
2017-07-27,2529.45,2693.32,2529.34,2671.57,779155975.7
2017-07-26,2576.48,2610.76,2450.8,2527.5,1225483802
2017-07-25,2754.86,2768.08,2480.96,2571.07,1128623986
2017-07-24,2730.4,2777.26,2699.19,2757.5,901618210.3
2017-07-23,2810.12,2832.18,2653.94,2731.29,1177193750
2017-07-22,2667.76,2862.42,2657.71,2810.37,1159568854
2017-07-21,2817.6,2838.41,2621.85,2665.27,2279173833
2017-07-20,2273.43,2900.7,2269.89,2801.6,1435910382
2017-07-19,2318.88,2397.17,2260.23,2283.08,1460736007
2017-07-18,2228.41,2387.61,2164.77,2329.8,1294231597
2017-07-17,1929.82,2230.49,1929.82,2225.04,1167305540
2017-07-16,1998.86,2058.77,1843.03,1922.72,1033100535
2017-07-15,2233.34,2233.34,1990.41,2007.37,986982045.1
2017-07-14,2357.9,2363.25,2183.22,2226.36,767717547
2017-07-13,2398.84,2425.22,2340.83,2360.24,1010762498
2017-07-12,2337.79,2423.71,2275.14,2399.01,1122298914
2017-07-11,2372.56,2413.47,2296.81,2340.78,1409258056
2017-07-10,2518.44,2537.16,2321.13,2366.4,678839627.7
2017-07-09,2571.34,2635.49,2517.59,2517.59,604168879.6
2017-07-08,2518.66,2569.84,2492.31,2567.87,860610090.3
2017-07-07,2608.56,2916.14,2498.87,2520.75,795842916.7
2017-07-06,2601.99,2616.72,2581.69,2610.6,855108846.7
2017-07-05,2601.64,2622.65,2538.55,2602.12,940907729.2
2017-07-04,2564.06,2631.59,2559.35,2602.27,984523239.6
2017-07-03,2506.47,2595,2480.47,2567,885058338
2017-07-02,2434.55,2514.28,2394.84,2511.31,774739707.3
2017-07-01,2480.84,2515.27,2419.23,2435.57,816500590.3
2017-06-30,2539.32,2559.25,2478.43,2483.7,937901392.4
2017-06-29,2574.79,2588.83,2510.48,2541.86,1075823951
2017-06-28,2552.45,2603.98,2484.42,2582.24,1368180714
2017-06-27,2478.45,2536.53,2332.99,2536.53,1568822403
2017-06-26,2589.41,2615.25,2376.29,2421.54,1288583865
2017-06-25,2608.72,2682.26,2552.12,2589.86,1022550449
2017-06-24,2744.91,2757.94,2583.19,2610.05,926337222.2
2017-06-23,2705.41,2765.17,2705.41,2740.77,1033497983
2017-06-22,2689.1,2723.74,2642.36,2704.41,1417746458
2017-06-21,2721.79,2772.01,2660.4,2693.21,1743498571
2017-06-20,2589.6,2763.45,2589.6,2718.49,1575387561
2017-06-19,2548.29,2610.3,2548.29,2594.12,1237458432
2017-06-18,2655.88,2662.1,2516.33,2547.97,1388967875
2017-06-17,2518.56,2685.19,2484.96,2656.57,1342702753
2017-06-16,2464.58,2539.92,2385.15,2519.58,1610873750
2017-06-15,2506.37,2534.71,2212.96,2459.19,1901055540
2017-06-14,2717.02,2786.83,2412.94,2502.58,1594579583
2017-06-13,2659.63,2789.04,2650.38,2720.72,2372858711
2017-06-12,2958.11,2997.26,2518.56,2672.34,1975583681
2017-06-11,2947.71,2996.6,2840.53,2964.08,2008677203
2017-06-10,2823.81,2950.99,2746.55,2950.99,1607817465
2017-06-09,2805.62,2901.71,2795.62,2813.33,1261414618
2017-06-08,2732.16,2815.3,2670.95,2805.79,1449076620
2017-06-07,2863.2,2869.38,2700.56,2735.64,1651149107
2017-06-06,2686.81,2999.91,2686.81,2868.07,1904174739
2017-06-05,2511.81,2681.97,2510.22,2679.51,1263812083
2017-06-04,2515.35,2585.89,2452.54,2522.07,1512326341
2017-06-03,2488.55,2581.91,2423.57,2557.05,1357441736
2017-06-02,2407.88,2484.62,2373.32,2481.16,1437146944
2017-06-01,2286.41,2448.39,2286.41,2401.8,1615621010
2017-05-31,2175.47,2311.08,2145.57,2289.12,1612583333
2017-05-30,2255.61,2301.96,2124.57,2159.44,1199369799
2017-05-29,2155.8,2307.05,2107.17,2248.67,941405114.6
2017-05-28,2038.87,2267.34,2038.87,2157.05,1430073693
2017-05-27,2202.42,2260.2,1855.83,2027.72,1806832222
2017-05-26,2304.98,2573.79,2071.99,2204.82,2112225243
2017-05-25,2443.64,2763.71,2285.3,2323.44,2184829964
2017-05-24,2320.42,2523.72,2320.42,2447.51,1546131597
2017-05-23,2173.4,2320.82,2173.4,2320.82,1629465556
2017-05-22,2041.2,2303.9,2017.87,2149.53,1659823507
2017-05-21,2084.73,2119.08,2037.5,2042.66,1021048195
2017-05-20,1987.71,2082.66,1974.92,2075.53,1032247422
2017-05-19,1888.65,2004.52,1888.65,1985.77,985780475.7
2017-05-18,1839.09,1904.48,1810.05,1900.26,929347453
2017-05-17,1734.45,1864.05,1661.91,1828.84,1042104330
2017-05-16,1738.43,1785.94,1686.54,1735.58,885833211.8
2017-05-15,1808.91,1812.8,1708.54,1741.64,552691618.1
2017-05-14,1804.91,1831.42,1776.62,1804.8,462909909.4
2017-05-13,1724.24,1812.99,1651.08,1796.03,712328076.4
2017-05-12,1848.57,1856.15,1694.01,1723.97,740455055.6
2017-05-11,1787.13,1873.93,1755.35,1847.56,847431449.5
2017-05-10,1755.36,1788.44,1719.1,1780.69,997842652.8
2017-05-09,1723.35,1833.49,1716.3,1754.51,1276492823
2017-05-08,1596.71,1723.03,1596.71,1723.03,1338145243
2017-05-07,1578.8,1596.72,1559.76,1596.72,734935616.2
2017-05-06,1555.45,1578.7,1542.5,1578.7,730011385.4
2017-05-05,1537.67,1618.03,1530.31,1555.89,1041419906
2017-05-04,1490.09,1608.91,1490.09,1533.93,726866115
2017-05-03,1452.82,1492.77,1447.49,1488.82,473923562.5
2017-05-02,1421.6,1473.9,1415.69,1452.84,627462531.3
2017-05-01,1347.89,1434.32,1347.89,1422.5,559505677.1
2017-04-30,1321.79,1347.91,1314.92,1347.91,361906975.6
2017-04-29,1316.48,1327.2,1315.21,1321.53,458149631.9
2017-04-28,1317.73,1331.28,1292.37,1316.84,500212295.1
2017-04-27,1281.08,1319.7,1281.08,1317.93,391933351.9
2017-04-26,1265.49,1294.83,1265.49,1281.09,267342812.5
2017-04-25,1250.15,1267.58,1249.97,1265.3,225315503.5
2017-04-24,1207.21,1250.94,1207.21,1250.35,250969298.6
2017-04-23,1231.71,1232.2,1203.94,1206.77,267381637.6
2017-04-22,1222.05,1235.56,1208.47,1232.13,239769750
2017-04-21,1229.08,1235.94,1215.56,1221.54,297994753.5
2017-04-20,1210.29,1240.79,1208.41,1229.01,296555982.6
2017-04-19,1211.67,1215.51,1205.08,1209.93,249810510.4
2017-04-18,1193.91,1217.57,1193.77,1211.68,272997781.3
2017-04-17,1182.94,1194.9,1172.65,1193.99,209076972.2
2017-04-16,1172.52,1187.22,1172.52,1183.19,192055550.5
2017-04-15,1167.54,1188,1164.96,1172.48,218630489.6
2017-04-14,1169.28,1190.8,1159.79,1167.81,296431496.5
2017-04-13,1200.37,1205.89,1156.44,1169.01,331760947.7
2017-04-12,1205.01,1207.14,1196.76,1200.85,238212826.4
2017-04-11,1187.13,1208.07,1187.13,1205.76,213989114.6
2017-04-10,1187.87,1190.34,1179.04,1186.58,237790038.2
2017-04-09,1175.95,1197.21,1171.86,1188.05,195427494.8
2017-04-08,1176.9,1184.98,1162.58,1175.65,259772184
2017-04-07,1182.68,1186.58,1163.39,1176.21,425674375
2017-04-06,1124.78,1188.37,1124.78,1183.28,462829588.9
2017-04-05,1133.25,1135.09,1113.63,1124.33,372516399.3
2017-04-04,1143.81,1156.44,1120.52,1132.8,507484461.8
2017-04-03,1102.17,1151.74,1102.17,1142.26,631703843.2
2017-04-02,1080.5,1107.59,1075.45,1102.04,329828510.4
2017-04-01,1071.79,1091.72,1061.09,1080.28,352716725.7
2017-03-31,1026.43,1074.92,1026.43,1071.45,412114993.1
2017-03-30,1039.97,1049.29,1020.04,1026.28,294159104.5
2017-03-29,1047.15,1055.13,1015.88,1039.68,323618635.4
2017-03-28,1045.77,1064.65,1027.73,1047.49,373652586.8
2017-03-27,966.725,1046.4,966.725,1046.4,324184139.4
2017-03-26,972.779,1007.96,954.186,964.909,336942430.6
2017-03-25,937.52,975.761,903.713,974.799,515419753.5
2017-03-24,1038.59,1040.47,934.358,935.192,335641121.5
2017-03-23,1049.14,1058.01,1028.93,1038.33,309805721.3
2017-03-22,1120.54,1120.65,1014.21,1049.38,347011225.7
2017-03-21,1054.23,1122.43,1054.23,1119.92,304371954.9
2017-03-20,1036.74,1063.03,1036.68,1053.31,342144305.3
2017-03-19,973.818,1069.91,973.818,1038.05,558958687.5
2017-03-18,1100.23,1114.07,957.655,973.313,591856656.3
2017-03-17,1187.81,1187.81,1099.57,1099.57,716295673.6
2017-03-16,1249.61,1257.98,1152.44,1188.54,477139602.8
2017-03-15,1240,1251.61,1239.75,1249.56,242288902.8
2017-03-14,1231.92,1244.81,1220.72,1240.06,304416097.2
2017-03-13,1221.38,1237.37,1217.03,1231.75,309097648.1
2017-03-12,1175.83,1226.98,1175.36,1221.39,234017260.4
2017-03-11,1116.72,1193.83,1116.32,1175.21,549515569.4
2017-03-10,1188.49,1270.47,1077.25,1116.42,270583496.5
2017-03-09,1150,1197.46,1141.23,1188.35,275023899
2017-03-08,1223.54,1232.16,1148.08,1151.83,321602125
2017-03-07,1272.83,1275.55,1204.8,1223.8,212690409.7
2017-03-06,1267.12,1276,1264.6,1272.72,136216811.8
2017-03-05,1255.15,1267.29,1238.06,1267.29,159470829.9
2017-03-04,1274.99,1279.4,1230.51,1255.71,232846572.9
2017-03-03,1251.01,1280.31,1250.71,1275.14,371834152.8
2017-03-02,1222.5,1260.9,1215.62,1251.35,281175104.5
2017-03-01,1179.97,1221.42,1179.69,1221.42,165318934
2017-02-28,1179.97,1193.25,1171.82,1179.74,166211258.7
2017-02-27,1165.2,1181.98,1163.38,1179.03,115890369.3
2017-02-26,1143.84,1167.47,1130.2,1165.57,133125041.7
2017-02-25,1173.68,1174.85,1124.59,1143.13,196883670.1
2017-02-24,1166.72,1200.39,1131.96,1173.85,300542034.7
2017-02-23,1117.44,1176.62,1116.96,1174.63,140449146.3
2017-02-22,1115.3,1125.39,1100.55,1117.7,158114802.1
2017-02-21,1079.98,1117.25,1076.93,1115.23,151632350.7
2017-02-20,1047.87,1080.49,1041.69,1080.49,79101966.55
2017-02-19,1054.42,1056.81,1043.46,1047.73,84642419.1
2017-02-18,1046.21,1061.1,1046.21,1054.16,119479334.7
2017-02-17,1027.44,1053.17,1025.64,1047.24,125479559
2017-02-16,1007.48,1033.37,1007.48,1027.56,100285827.2
2017-02-15,1004.55,1008.84,1001.58,1007.42,109565172.9
2017-02-14,990.642,1011.51,986.471,1004.58,116930831.8
2017-02-13,999.181,1002.1,976.002,991.026,79602618.47
2017-02-12,1004.45,1004.76,996.921,999.095,77994253.82
2017-02-11,988.674,1009.29,982.83,1004.15,138468881.9
2017-02-10,994.383,998.905,946.691,989.841,320292798.6
2017-02-09,1063.07,1088.99,953.344,992.935,266473874.6
2017-02-08,1061.35,1078.97,1037.49,1062.99,181550142.4
2017-02-07,1038.15,1061.93,1038.15,1061.26,130379906.3
2017-02-06,1027.34,1044.64,1027.34,1037.75,113484717.8
